City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
582,Port Macquarie,AU,88.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
593,Cururupu,BR,77.41,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
598,Iracoubo,GF,78.12,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
601,Eldorado,BR,77.09,clear sky,-23.7869,-54.2836,Villa Verde Hotel
605,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
609,Kavaratti,IN,80.91,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
610,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
612,Pundaguitan,PH,82.15,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
613,Ambunti,PG,83.43,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
616,Yeppoon,AU,85.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
618,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
630,Aquidauana,BR,75.4,overcast clouds,-20.4711,-55.7872,HOTEL ARARAS
631,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
632,Vung Tau,VN,76.62,overcast clouds,10.346,107.0843,Green hotel
634,Lasem,ID,80.01,moderate rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
636,Cotonou,BJ,76.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
643,Cienaga,CO,84.33,broken clouds,11.007,-74.2476,The Journey Hostel
650,Kroya,ID,81.19,light rain,-7.6331,109.2461,RUSTANTO Fam
653,Cockburn Town,TC,79.2,few clouds,21.4612,-71.1419,Osprey Beach Hotel
656,Savannah Bight,HN,80.01,clear sky,16.45,-85.85,Villa on Dunbar Rock
659,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
661,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
665,Christchurch,NZ,79.0,overcast clouds,-43.5333,172.6333,The George
672,Parkes,AU,78.73,few clouds,-33.1333,148.1833,Station Motel
683,Kasangulu,CD,77.94,light rain,-4.5911,15.1708,Hôtel le Relais
684,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
691,Puerto Leguizamo,CO,77.29,overcast clouds,-0.1934,-74.7819,la casona de juancho
